method,r2,rmse,mae,train_end,test_month_start,test_month_end,n_train,n_test,city,pollutant,variant
baseline_global_mean,-0.023409422681768488,4.8020741529206585,3.9572192580645162,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2,baseline_full
baseline_persistence,0.09059542665982911,4.526710528916928,3.307579725806451,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2,baseline_full
model_random_forest,0.671400355289905,2.7210573875259865,2.1614774783041675,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2,baseline_full
model_hist_gradient_boosting,0.6616361524500742,2.7611889950242032,2.1921229500533768,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2,baseline_full
baseline_global_mean,-0.8178702150133303,5.4275465624092885,4.954064858781361,2022-05-01,2022-05-01,2022-06-01,240,93,milwaukee,no2,no_impervious
baseline_persistence,0.23086062572330368,3.5304059243459416,2.6058975483870968,2022-05-01,2022-05-01,2022-06-01,240,93,milwaukee,no2,no_impervious
model_random_forest,0.3887263806585243,3.1473130870716917,2.699932431501614,2022-05-01,2022-05-01,2022-06-01,240,93,milwaukee,no2,no_impervious
model_hist_gradient_boosting,0.43463255622969454,3.026826440973088,2.497207581665294,2022-05-01,2022-05-01,2022-06-01,240,93,milwaukee,no2,no_impervious
baseline_global_mean,-0.09727840447880998,5.456288743073284,4.894863945338597,2022-06-01,2022-06-01,2022-07-01,333,89,milwaukee,no2,no_impervious
baseline_persistence,0.36875280945482125,4.138459009569174,3.0152859325842694,2022-06-01,2022-06-01,2022-07-01,333,89,milwaukee,no2,no_impervious
model_random_forest,0.7800980851736291,2.442606083351675,1.824290291995628,2022-06-01,2022-06-01,2022-07-01,333,89,milwaukee,no2,no_impervious
model_hist_gradient_boosting,0.7567102362674886,2.5692173560296143,1.937200572239157,2022-06-01,2022-06-01,2022-07-01,333,89,milwaukee,no2,no_impervious
baseline_global_mean,-0.2382347528540214,4.786857289670278,4.340706627936603,2022-07-01,2022-07-01,2022-08-01,422,93,milwaukee,no2,no_impervious
baseline_persistence,0.5362437192989087,2.9295025999304727,2.1044161075268817,2022-07-01,2022-07-01,2022-08-01,422,93,milwaukee,no2,no_impervious
model_random_forest,0.8535282781633371,1.6463640681301106,1.2001841951266667,2022-07-01,2022-07-01,2022-08-01,422,93,milwaukee,no2,no_impervious
model_hist_gradient_boosting,0.8295817217978734,1.7758532408254504,1.2939317426654064,2022-07-01,2022-07-01,2022-08-01,422,93,milwaukee,no2,no_impervious
baseline_global_mean,-0.12149510944919806,4.608146407244927,4.097213128619671,2022-08-01,2022-08-01,2022-09-01,515,92,milwaukee,no2,no_impervious
baseline_persistence,0.6273936646665284,2.656150593091655,2.115138847826087,2022-08-01,2022-08-01,2022-09-01,515,92,milwaukee,no2,no_impervious
model_random_forest,0.863139405491014,1.6097809653879651,1.2191093511483886,2022-08-01,2022-08-01,2022-09-01,515,92,milwaukee,no2,no_impervious
model_hist_gradient_boosting,0.8654505126191352,1.5961312497377997,1.2240904400477393,2022-08-01,2022-08-01,2022-09-01,515,92,milwaukee,no2,no_impervious
baseline_global_mean,-0.00524991733547453,5.456589125044116,4.503169729868703,2022-09-01,2022-09-01,2022-10-01,607,66,milwaukee,no2,no_impervious
baseline_persistence,0.522827263239706,3.7594303334322574,2.925938878787879,2022-09-01,2022-09-01,2022-10-01,607,66,milwaukee,no2,no_impervious
model_random_forest,0.7273015769790043,2.8420096179951186,2.2077900596925795,2022-09-01,2022-09-01,2022-10-01,607,66,milwaukee,no2,no_impervious
model_hist_gradient_boosting,0.7650911397137576,2.6377518056427656,1.9824869735295552,2022-09-01,2022-09-01,2022-10-01,607,66,milwaukee,no2,no_impervious
baseline_global_mean,-0.10873919484404082,6.038927784545501,4.666024887096773,2022-10-01,2022-10-01,2022-11-01,673,62,milwaukee,no2,no_impervious
baseline_persistence,0.396139334752443,4.456701084910866,3.5733860161290325,2022-10-01,2022-10-01,2022-11-01,673,62,milwaukee,no2,no_impervious
model_random_forest,0.7133630637200186,3.070514924040168,2.527649808228152,2022-10-01,2022-10-01,2022-11-01,673,62,milwaukee,no2,no_impervious
model_hist_gradient_boosting,0.7252405118141199,3.00622502230253,2.4780581857172463,2022-10-01,2022-10-01,2022-11-01,673,62,milwaukee,no2,no_impervious
baseline_global_mean,-0.14239146253517876,7.4193679541242545,5.5046241729931955,2022-11-01,2022-11-01,2022-12-01,735,60,milwaukee,no2,no_impervious
baseline_persistence,0.14936661650533434,6.402220783166391,4.970317316666666,2022-11-01,2022-11-01,2022-12-01,735,60,milwaukee,no2,no_impervious
model_random_forest,0.6845132775454479,3.8989707634644724,2.975171712989162,2022-11-01,2022-11-01,2022-12-01,735,60,milwaukee,no2,no_impervious
model_hist_gradient_boosting,0.7183622144584472,3.6838750890115755,3.00807101023615,2022-11-01,2022-11-01,2022-12-01,735,60,milwaukee,no2,no_impervious
